BOOK_ORDER,BOOK_ABBREV,BOOK,CHAPTER,VERSE,READING
13,1 Chr,1+Chronicles,27,14,
13,1 Chr,1+Chronicles,27,15,
13,1 Chr,1+Chronicles,27,16,
13,1 Chr,1+Chronicles,27,17,
13,1 Chr,1+Chronicles,27,18,
13,1 Chr,1+Chronicles,27,19,
13,1 Chr,1+Chronicles,27,2,
13,1 Chr,1+Chronicles,27,20,
13,1 Chr,1+Chronicles,27,21,
13,1 Chr,1+Chronicles,27,22,
13,1 Chr,1+Chronicles,27,23,
13,1 Chr,1+Chronicles,27,24,
13,1 Chr,1+Chronicles,27,25,
13,1 Chr,1+Chronicles,27,26,
